,Hospital,State,City,LocalAddress,Pincode,Hospital Type,Hospital Ownership,User Ratings(out of 5)
0,A A Hospital,Tamilnadu,Hosur,Denkani Kottai Road Mathigiri,635110,"ENT Clinic -Ear, Nose, and Throat",Voluntary non-profit ,3.8
1,A C Hospital,Tamilnadu,Chennai,"No-8, 3Rd Main Road, United India Nagar, Ayanavaram, Chennai-600023",600023,"ENT Clinic -Ear, Nose, and Throat",Private,4.4
2,A-Care Orthopaedic & General Hospital,Maharashtra,Mumbai,"G-1, Giriraj Tower, Sai Baba Nagar, Mira Bhayander Road, Mira Road.",401107,"ENT Clinic -Ear, Nose, and Throat",Private,3.4
3,A-One Hospital Pvt Ltd,Delhi,Delhi,"A-1/7, Panchim Vihar, Rohtak Road, New Delhi-110063",110063,General Hospital,Proprietary,3.5
4,A.B.Eye Institute,Bihar,Patna,"Road No.12, Rajendra Nagar, Patna, Bihar-800016",800016,Dental Clinic,Private,4.2
5,A.C. Hospital,Tamilnadu,Salem,"201,2Nd Agraharam",636001,Cardiology Center,Voluntary non-profit ,3.1
6,A.G. Eye Care Hospitals (U Nit Of Dr. A.G. Eye Hospitals Private Limited,Tamilnadu,Chennai,"No. 106, R.K. Mutt Road. Mylapore, Chennai, Tamilnadu",600004,Eye Hospital or Ophthalmology Clinic,Government,3.6
7,A.G. Hospital,Tamilnadu,Coimbatore,"34, Kpn Colony 3Rd Street, Tirupur",641601,"ENT Clinic -Ear, Nose, and Throat",Government,4.4
8,A.G. Padmavati'S Hospital Ltd.,Tamilnadu,Pondicherry,"R.S. No.127/A, Villianur Main Road, Arumparthapuram, Puducherry",605110,Orthopedic Hospital or Clinic,Voluntary non-profit ,4.4
9,A.J. Hospital,Kerala,Trivandrum,"Kazhakuttam, P.O., Thiruvananthapuram, Trivandrum-695582",695582,Cardiology Center,Private,4.3
10,A.J. Hospital & Research Centre,Karnataka,Mangalore,"Kuntikan, Mangalore, Dakshina Kannada-575004, Opp. Ksrtc Depot.Kuntikana",575004,Orthopedic Hospital or Clinic,Private,3.5
11,A.K.G. Surgical Centre,Uttar Pradesh,Aligarh,"# 225, Avas Vikas Colony,Masoodabad Chouraha Gt Roadmasoodabad Chouraha,G.T.Road,",202001,General Hospital,Voluntary non-profit ,4.1
12,A.M. Hospital,Karnataka,Bangalore,"# 20/1, 2Nd Cross, Widia Layout, Vijayanagar, Bangalore",560040,General Hospital,Private,4.9
13,A.M. Hospital,Kerala,Cochin,"N.H. 47, Karunagapally",690518,Maternity Hospital or Birthing Center,Voluntary non-profit ,4.3
14,A.N. Beach Hospital,Andhra Pradesh,Vizag,"15-9-13/24, Krishna Nagar,Near Beach Road, Visakhapatnam, Andhra Pradesh",530002,Psychiatric Hospital or Mental Health Clinic,Private,3.6
15,A.N.N Hospital,Tamilnadu,Chennai,"81-85,Annai Therasa Street,Valasaravakkam",600087,Maternity Hospital or Birthing Center,Government,3.7
16,A.P.Hospital,Punjab,Amritsar,"Ajitnagar Chowk,Near Sultan Wind Water Tank",143001,Psychiatric Hospital or Mental Health Clinic,Government,3.9
17,A.P.Varkey Mission Hospital,Kerala,Ernakulam,Arakunnam P.O. Thottapady.,682313,Pediatric Hospital,Private,3.9
18,A.R.Hospital Pvt Ltd,Tamilnadu,Madurai,"609, K.K.Nagar, Madurai-625020",625020,Cancer Treatment Center or Oncology Hospital,Private,3.8
19,A.U.S. Clinic & Lithotripsy Centre,Maharashtra,Mumbai,"Arun Chambers, Tardeo, Mumbai-400034Tardeo",400034,Cancer Treatment Center or Oncology Hospital,Proprietary,4.3
20,A.V. Hospitals,Tamilnadu,Chennai,"# 172, Solaiappan Street, Tondirepet (North Chennai) Near Maharani Theatre",600021,Maternity Hospital or Birthing Center,Proprietary,4.3
21,A.V.Da Costa Hospital,Goa,Margao,"No.P-602,Fatorda,Next To Fatorda Stadium,Salcete,",403602,"ENT Clinic -Ear, Nose, and Throat",Government,3.5
22,A.V.M. Hospital A.V.M.M. Associates (P) Ltd,Tamilnadu,Tuticorin,"# 135, Palayamkottai Roadtuticorin",628003,Psychiatric Hospital or Mental Health Clinic,Government,3.2
23,Aabu Tayshete Memorial Hospital,Maharashtra,Sindhudurga,"Behind Hotel Sahyadri Kankavlisindhudurga, Maharashtra.",416602,Eye Hospital or Ophthalmology Clinic,Voluntary non-profit ,3.1
24,Aadhar Hospital,Karnataka,Belgaum,"Court Road,Chavatgalli",590002,Dental Clinic,Proprietary,4.8
25,Aadithya Adhikari Hospital,Karnataka,Mysore,"#417, Contour Road,3Rd Stage Gokulaum, Mysore-570002",570002,Psychiatric Hospital or Mental Health Clinic,Government,3.9
26,Aaditya Hospital,Maharashtra,Sangli,Main Chowk Vishrambag,416415,Cardiology Center,Proprietary,3.4
27,Aadya Ent Hospital,Gujarat,Ahmedabad,"Shivam Complex, Janata Chamber, Saijpur Tower.",380045,General Hospital,Government,4.6
